AD_eval,AD_full,KS_eval,KS_full,bias_MC,bias_NN,cls,d_true,degen,gap_nnmc,gap_nntr,id_ok,k,k_MC,k_NN,k_true,kurt_obs,kurt_pred,pair,part,payoff,pg_hi,pg_lo,pred_gap,pred_gap_full,r_naive,r_naive_full,r_strat,r_strat_full,rn_hi,rn_lo,rs_hi,rs_lo,sMC,sMC_e,sMC_f,sNN,sNN_e,sNN_f,skew_obs,skew_pred,spool_e,strad_eval
1,1,1,1,,,heston,,0,,,1,0.05200000000000138,,,,8.151324961568085,5.962385903344075,C,3A,,0.7379250736863253,0.7325945315379498,0.7353110462355974,0.7229426041514306,0.6265160017487365,0.7320218777151616,0.8520421459138499,1.01255877508338,0.7107096045580017,0.6193093016937221,0.9763743618453259,0.8174977742900769,,-0.10598092043760682,0.17302265208170087,,0.3045529212851877,0.14820248531068175,-1.8831114517029677,-0.23054009432704234,-0.07403835683522864,1
1,1,1,1,,,heston,,0,,,1,0.05400000000000138,,,,8.151324961568085,5.962385903344075,C,3A,,0.7380572556238187,0.7317647689608799,0.7353110462355974,0.7229426041514306,0.6265160017487365,0.7320218777151616,0.8520421459138499,1.01255877508338,0.7122706629304305,0.6124680440893049,0.9346133510265295,0.8373159636935006,,-0.10598092043760682,0.17302265208170087,,0.3045529212851877,0.14820248531068175,-1.8831114517029677,-0.23054009432704234,-0.07403835683522864,1
1,1,1,1,,,heston,,0,,,1,0.05600000000000138,,,,8.151324961568085,5.962385903344075,C,3A,,0.7379650079348645,0.7317788389288475,0.7353110462355974,0.7229426041514306,0.6265160017487365,0.7320218777151616,0.8520421459138499,1.01255877508338,0.7059201703711602,0.6190496294824074,0.9686585529424222,0.8246788138275343,,-0.10598092043760682,0.17302265208170087,,0.3045529212851877,0.14820248531068175,-1.8831114517029677,-0.23054009432704234,-0.07403835683522864,1
1,1,1,1,,,heston,,0,,,1,0.058000000000001384,,,,8.151324961568085,5.962385903344075,C,3A,,0.7372077181762016,0.7319890937786689,0.7353110462355974,0.7229426041514306,0.6265160017487365,0.7320218777151616,0.8520421459138499,1.01255877508338,0.7033791076280433,0.6071325766007574,0.971195768858078,0.8329481291816555,,-0.10598092043760682,0.17302265208170087,,0.3045529212851877,0.14820248531068175,-1.8831114517029677,-0.23054009432704234,-0.07403835683522864,1
1,1,0,1,,,kou,,0,,,1,0.3940000000000017,,,,4.084827924778799,5.991716997369423,A,3A,,0.7404815615608922,0.7369356666496191,0.7397440615341127,0.7312598539467019,0.7588166036600187,0.7897724256886868,1.0257826228254576,1.0800161138700355,0.7941320574428421,0.7450849908118099,1.072386761073063,1.0069508165334469,,0.037818085382951686,-0.07582161858896452,,-14.695376829512984,-5.223577382214179,0.2584057163797049,0.11124329657495752,0.016759312334233615,1
1,1,0,1,,,kou,,0,,,1,0.3960000000000017,,,,4.084827924778799,5.991716997369423,A,3A,,0.7401758456756643,0.7370839157089695,0.7397440615341127,0.7312598539467019,0.7588166036600187,0.7897724256886868,1.0257826228254576,1.0800161138700355,0.8002776936058984,0.7448024180171671,1.0790096002537704,1.0106470934184504,,0.037818085382951686,-0.07582161858896452,,-14.695376829512984,-5.223577382214179,0.2584057163797049,0.11124329657495752,0.016759312334233615,1
1,1,0,1,,,kou,,0,,,1,0.3980000000000017,,,,4.084827924778799,5.991716997369423,A,3A,,0.7408738489841553,0.7373725119871288,0.7397440615341127,0.7312598539467019,0.7588166036600187,0.7897724256886868,1.0257826228254576,1.0800161138700355,0.793895944784591,0.7439724084915812,1.0783151025217885,1.0043906098458675,,0.037818085382951686,-0.07582161858896452,,-14.695376829512984,-5.223577382214179,0.2584057163797049,0.11124329657495752,0.016759312334233615,1
1,1,0,1,,,kou,,0,,,1,0.4000000000000017,,,,4.084827924778799,5.991716997369423,A,3A,,0.7406731882955746,0.7370596011479996,0.7397440615341127,0.7312598539467019,0.7588166036600187,0.7897724256886868,1.0257826228254576,1.0800161138700355,0.79253890786759,0.7446181725554262,1.071738138547712,1.0019639691732114,,0.037818085382951686,-0.07582161858896452,,-14.695376829512984,-5.223577382214179,0.2584057163797049,0.11124329657495752,0.016759312334233615,1
1,1,0,1,,,kou,,0,,,1,0.048000000000001375,,,,5.264707042431937,5.978254439601763,B,3A,,0.7393052155973692,0.733858194525775,0.7373146489580963,0.7228465292958196,0.6735007746819949,0.7722073720417928,0.9134509610431893,1.0682867534745715,0.7160290244582728,0.6647199396000957,0.9725985458203827,0.899967291350634,,0.0956663695463833,-0.08366619365131364,,1.4901154218503982,0.44947891538556145,0.8332571774290746,0.17686249016265418,0.07794682935945561,0
1,1,0,1,,,kou,,0,,,1,0.05000000000000138,,,,5.264707042431937,5.978254439601763,B,3A,,0.7387584462611517,0.7338935212745226,0.7373146489580963,0.7228465292958196,0.6735007746819949,0.7722073720417928,0.9134509610431893,1.0682867534745715,0.7154732974288172,0.6553685960450175,0.9543697457834596,0.8931921447977816,,0.0956663695463833,-0.08366619365131364,,1.4901154218503982,0.44947891538556145,0.8332571774290746,0.17686249016265418,0.07794682935945561,0
