model,pair,payoff,s,MR_theory,MR_emp,ratio,KS_p,KS_rej,AD_rej,sig2_le1,sig2_1to2,sig2_2to3,sig2_gt3,n_seed
kou,A,barrier_uo130,5.91845095778362,4.226207976213541e-05,4.226207975841118e-05,0.9999999999118778,0.7541889464079731,0,0,1.0,0.0,0.0,0.0,170
kou,B,price_ATMcall,-4.810570668120007,0.001645670068801704,0.0016456699694878507,0.9999999396514191,0.7177316017550622,0,0,0.5286111874987861,0.46467091897578494,0.006611350126218258,0.00010654339921046784,170
kou,B,delta_ATM,-2.057335716555936,0.000964447682831429,0.0009671167945074254,1.0027675028137975,0.9871074832502962,0,0,0.6083930273108865,0.3878353778774133,0.003730746716957698,4.084809474247656e-05,170
kou,B,gamma_ATM,6.281178632016555,0.009511578083115717,0.00951157808303833,0.9999999999918638,0.5025070375858647,0,0,0.0,0.0,0.0,0.0,170
kou,B,gamma_OTM110,6.2019330269852935,0.007728863113173636,0.0077288631130667295,0.9999999999861678,0.8858215715214207,0,0,1.0,0.0,0.0,0.0,170
kou,B,digital_ATM,2.839130332079024,0.0006883154206514863,0.0006879921846051958,0.9995303954602898,0.8461319614883039,0,0,0.9632468702659115,0.0368450447383199,-8.846060741876771e-05,-3.4543968128323117e-06,170
kou,B,digital_OTM110,-0.7239368764514131,0.00020053435128785193,0.0001991154178516321,0.9929242375328352,0.7695365919654527,0,0,0.8282592192135263,0.17137661692148906,0.0003619916107362558,2.1722542485766897e-06,170
kou,B,barrier_uo130,6.198143433608115,0.00021057043405794352,0.0002105704340549564,0.9999999999858142,0.6212519986762798,0,0,1.0,0.0,0.0,0.0,170
kou,C,price_ATMcall,-5.152480337847056,0.0032925599091256307,0.0032925598792874398,0.9999999909376923,0.6811260365876237,0,0,0.5236513696486963,0.4695018607608326,0.006742526821771689,0.00010424276869929791,170
kou,C,delta_ATM,-2.1915744899854315,0.0019219555730531032,0.0019225714646771534,1.0003204504998375,0.9741377377453022,0,0,0.6093839868969669,0.3868364772544419,0.003743547554321701,3.5988294269555346e-05,170
kou,C,gamma_ATM,6.699415371803203,0.01886453698664004,0.018864536986631507,0.9999999999995476,0.3509711632892395,0,0,0.0,0.0,0.0,0.0,170
kou,C,gamma_OTM110,6.603237034593689,0.01534098632196781,0.015340986321954166,0.9999999999991106,0.814217954558406,0,0,1.0,0.0,0.0,0.0,170
kou,C,digital_ATM,3.0077423544836,0.0013796846835334119,0.001379343638445341,0.9997528093975809,0.8857371784094109,0,0,0.9657237324399649,0.034380128824789226,-9.994336080919454e-05,-3.917903944925281e-06,170
kou,C,digital_OTM110,-0.7252436664149028,0.00037666533248336363,0.000375691797251174,0.9974153840339616,0.9987216743307209,0,0,0.8334596946442656,0.16619495340877882,0.00034342556288729305,1.926384068048589e-06,170
kou,C,barrier_uo130,6.589399766027349,0.0004189675317744231,0.00041896753177401394,0.9999999999990233,0.8893794268570165,0,0,1.0,0.0,0.0,0.0,170
kou,D,price_ATMcall,-6.123605933833214,0.009834711452250084,0.00983471145202152,0.9999999999767595,0.8662477122842307,0,0,0.4997320405202908,0.4913627226895806,0.008652310545163843,0.0002529262449647245,170
kou,D,delta_ATM,-2.6016697155592166,0.005611752194859304,0.0056054775875079175,0.9988818808932557,0.6234286261118593,0,0,0.595693898337828,0.39970154355461535,0.0045343756084117275,7.018249914471621e-05,170
kou,D,gamma_ATM,8.329726677164526,0.05437297330183145,0.05437297330183141,0.9999999999999993,0.6981095209647479,0,0,0.0,0.0,0.0,0.0,170
kou,D,gamma_OTM110,7.99536771351172,0.044549925888285984,0.044549925888285914,0.9999999999999984,0.5771833141897196,0,0,1.0,0.0,0.0,0.0,170
