AD_rej,Delta_true,J,J_frac,KS_p,KS_rej,MR_emp,MR_theory,S,boot_q25,boot_q75,degenerate,kind,model,mu,pair,payoff,ratio,s,seedset,sigma
0,0.0005155417014515938,7.484032979015267e-19,5.750249437515179e-14,0.9429178529559709,0,0.0005025265565255523,0.0005025265565255531,-1.3015144926041447e-05,0.9999999999999738,1.0,0,scan,heston,0.0005025265565255523,A,digit_k=-0.150,0.9999999999999984,7.4611928132928425,eval,6.73520399620624e-05
0,0.0005155417014515938,1.8189700390031847e-21,1.3135274907453395e-16,0.49232332912601917,0,0.0005016937229980097,0.0005016937229980097,-1.3847978453584097e-05,1.0,1.0,0,scan,heston,0.0005016937229980097,A,digit_k=-0.150,1.0,8.195067293868895,insample,6.121898759432393e-05
0,0.0005155417014515938,7.484032979015267e-19,5.750249437515179e-14,0.9429178529559709,0,0.0005025265565255523,0.0005025265565255531,-1.3015144926041447e-05,0.9999999999999807,1.0,0,scan,heston,0.0005025265565255523,A,digit_k=-0.123,0.9999999999999984,7.4611928132928425,eval,6.73520399620624e-05
0,0.0005155417014515938,1.8189700390031847e-21,1.3135274907453395e-16,0.49232332912601917,0,0.0005016937229980097,0.0005016937229980097,-1.3847978453584097e-05,1.0,1.0,0,scan,heston,0.0005016937229980097,A,digit_k=-0.123,1.0,8.195067293868895,insample,6.121898759432393e-05
0,0.0004485183995782977,2.3674601489898586e-18,2.1072867939534025e-13,0.991740898235146,0,0.00043728376290813733,0.0004372837629081397,-1.123463667016038e-05,0.9999999999999076,1.0,0,scan,heston,0.00043728376290813733,A,digit_k=-0.089,0.9999999999999946,7.295111322159319,eval,5.9942027420453864e-05
0,0.0004485183995782977,7.139548652490656e-21,5.655550627345532e-16,0.49476265017097487,0,0.00043589443221786115,0.00043589443221786115,-1.2623967360436564e-05,0.9999999999999999,1.0,0,scan,heston,0.00043589443221786115,A,digit_k=-0.089,1.0,8.016944548737639,insample,5.437164116178124e-05
0,0.0003728241590242676,2.0523650288625443e-17,2.115525270410811e-12,0.9150327152682156,0,0.0003631227148601917,0.00036312271486021227,-9.701444164075888e-06,0.999999999999682,0.9999999999999994,0,scan,heston,0.0003631227148601917,A,digit_k=-0.056,0.9999999999999434,6.984243807981692,eval,5.199170086892012e-05
0,0.0003728241590242676,5.908423183916097e-20,5.084067150349545e-15,0.49634578214068437,0,0.0003612027090921796,0.00036120270909217964,-1.1621449932088022e-05,0.9999999999999994,1.0,0,scan,heston,0.0003612027090921796,A,digit_k=-0.056,0.9999999999999999,7.737908091215997,insample,4.6679632897451134e-05
0,0.0002899192422381226,1.339904062726203e-15,1.5925732479858263e-10,0.8902835704934581,0,0.0002815057889529602,0.0002815057889543001,-8.413453285162418e-06,0.9999999999455863,0.9999999999997993,0,scan,heston,0.0002815057889529602,A,digit_k=-0.023,0.9999999999952403,6.3602258520723485,eval,4.426034475823485e-05
0,0.0002899192422381226,5.926031733938727e-18,5.331312759629594e-13,0.9294512070529363,0,0.0002788037215378377,0.0002788037215378436,-1.1115520700284882e-05,0.9999999999998532,0.9999999999999988,0,scan,heston,0.0002788037215378377,A,digit_k=-0.023,0.9999999999999788,7.1153373781961395,insample,3.9183485858617045e-05
0,0.00020166438189324925,3.677430314530176e-12,4.899135316060775e-07,0.8651212791403231,0,0.00019415810114029345,0.00019415810481772375,-7.506280752955801e-06,0.9999999412497541,0.9999999989491709,0,scan,heston,0.00019415810114029345,A,digit_k=+0.000,0.9999999810596096,5.021784898405372,eval,3.866316560112856e-05
0,0.00020166438189324925,9.237823864328982e-14,8.56032680095794e-09,0.7889637397122718,0,0.00019087294366893236,0.00019087294376131058,-1.07914382243169e-05,0.9999999987817582,0.9999999999261479,0,scan,heston,0.00019087294366893236,A,digit_k=+0.000,0.9999999995160224,5.647014455634042,insample,3.3800682673744156e-05
0,0.00020166438189324925,3.677430314530176e-12,4.899135316060775e-07,0.8651212791403231,0,0.00019415810114029345,0.00019415810481772375,-7.506280752955801e-06,0.99999991214525,0.9999999985696811,0,scan,heston,0.00019415810114029345,A,digit_k=+0.011,0.9999999810596096,5.021784898405372,eval,3.866316560112856e-05
0,0.00020166438189324925,9.237823864328982e-14,8.56032680095794e-09,0.7889637397122718,0,0.00019087294366893236,0.00019087294376131058,-1.07914382243169e-05,0.9999999984748125,0.9999999998837036,0,scan,heston,0.00019087294366893236,A,digit_k=+0.011,0.9999999995160224,5.647014455634042,insample,3.3800682673744156e-05
0,0.0001102730489797077,2.738401949596474e-08,0.0035948201085649824,0.925121967850773,0,0.00010268280021954945,0.00010271018423904542,-7.590248760158252e-06,0.9995741973351371,0.9999125140914209,0,scan,heston,0.00010268280021954945,A,digit_k=+0.044,0.9997333855479001,2.9881612394317023,eval,3.4363205995897995e-05
0,0.0001102730489797077,1.0753611694470493e-08,0.0009620927557053503,0.9565782003529061,0,9.910648976922364e-05,9.911724338091811e-05,-1.1166559210484066e-05,0.9998345530073569,0.9999424139322006,0,scan,heston,9.910648976922364e-05,A,digit_k=+0.044,0.9998915061463811,3.2161073188824427,insample,3.0815666251977534e-05
0,1.823379555996154e-05,1.8674554815640148e-05,0.7047258024675312,0.9969678496494995,0,2.8922450489936945e-05,2.9083868615238875e-05,-7.824481760362814e-06,0.9696160887879001,1.0306915564808057,0,scan,heston,1.0409313799598725e-05,A,digit_k=+0.077,0.9944499087299083,0.29816929026720856,eval,3.4910750836446886e-05
0,1.823379555996154e-05,2.0576478017992676e-05,0.6170393198616729,0.7604506352184618,0,2.5857289331659102e-05,2.603964168631344e-05,-1.2770631891640773e-05,0.984351332053995,1.0028300908372545,0,scan,heston,5.4631636683207675e-06,A,digit_k=+0.077,0.992997125043,0.16980518886687396,insample,3.217312559631996e-05
0,-7.1796179759573e-05,5.484895233283546e-07,0.056432326259095444,0.8047262942222269,0,8.107727286163369e-05,8.151560051869778e-05,9.170931235796424e-06,0.992148876924652,0.9964931806301102,0,scan,heston,-8.096711099536943e-05,A,digit_k=+0.111,0.9946227758333995,-2.07058118805107,eval,3.9103567376452185e-05
0,-7.1796179759573e-05,2.417600170939825e-07,0.01574085237082388,0.5070303093848949,0,8.694623105539013e-05,8.715494251260483e-05,1.5117002735937844e-05,0.9968191386547851,0.9982085142419481,0,scan,heston,-8.691318249551085e-05,A,digit_k=+0.111,0.9976052826013336,-2.3400087668493015,insample,3.7142246527791804e-05
0,-0.00015712194691921394,2.0425630856278227e-09,0.00018133173430920683,0.611311432986476,0,0.00016838413834919676,0.00016838618091228238,1.1262191429982815e-05,0.9999812618125359,0.9999958556056753,0,scan,heston,-0.00016838413834919676,A,digit_k=+0.144,0.9999878697701049,-3.732450824016842,eval,4.511355843343241e-05
0,-0.00015712194691921394,5.588852224164869e-10,3.128837108356335e-05,0.9857481136422246,0,0.0001749837823696968,0.00017498434125491922,1.7861835450482867e-05,0.9999956270488602,0.999998639584254,0,scan,heston,-0.0001749837823696968,A,digit_k=+0.144,0.9999968060843707,-4.023877765238746,insample,4.348635634047761e-05
0,-0.00015712194691921394,2.0425630856278227e-09,0.00018133173430920683,0.611311432986476,0,0.00016838413834919676,0.00016838618091228238,1.1262191429982815e-05,0.9999774526462943,0.999997070968875,0,scan,heston,-0.00016838413834919676,A,digit_k=+0.150,0.9999878697701049,-3.732450824016842,eval,4.511355843343241e-05
0,-0.00015712194691921394,5.588852224164869e-10,3.128837108356335e-05,0.9857481136422246,0,0.0001749837823696968,0.00017498434125491922,1.7861835450482867e-05,0.9999951081173746,0.9999984276674121,0,scan,heston,-0.0001749837823696968,A,digit_k=+0.150,0.9999968060843707,-4.023877765238746,insample,4.348635634047761e-05
0,-0.00023515855373294487,1.525494935838153e-11,1.1694054862124576e-06,0.5648954269377237,0,0.0002482035853314956,0.0002482036005864449,1.3045031598550702e-05,0.9999997854610605,0.9999999923279699,0,scan,heston,-0.0002482035853314956,A,digit_k=+0.177,0.9999999385385656,-4.807180892663194,eval,5.1631838050926765e-05
0,-0.00023515855373294487,2.4328366275291908e-12,1.1833964561548026e-07,0.8259339417828719,0,0.0002557166374332557,0.0002557166398660923,2.0558083700310844e-05,0.9999999753486797,0.9999999955171434,0,scan,heston,-0.0002557166374332557,A,digit_k=+0.177,0.9999999904862015,-5.1439439973482015,insample,4.971217368717124e-05
0,-0.0003035846799484586,7.469734514475106e-13,4.416242168874494e-08,0.6781505945952963,0,0.00032049891132200045,0.0003204989120689739,1.6914231373541834e-05,0.9999999940274445,0.999999999701912,0,scan,heston,-0.00032049891132200045,A,digit_k=+0.211,0.9999999976693417,-5.3863891316892865,eval,5.9501625947601225e-05
0,-0.0003035846799484586,6.31889393775491e-14,2.6186085231002704e-09,0.7957516537652451,0,0.00032771541146279365,0.0003277154115259826,2.413073151433503e-05,0.9999999995176025,0.9999999999359012,0,scan,heston,-0.00032771541146279365,A,digit_k=+0.211,0.9999999998071836,-5.795003478398717,insample,5.65513744183892e-05
0,-0.000360489003358705,3.7612682337596716e-14,1.8304601572776297e-09,0.603856674557705,0,0.000381037214757465,0.00038103721479507764,2.0548211398759995e-05,0.9999999996280727,0.9999999999921317,0,scan,heston,-0.000381037214757465,A,digit_k=+0.244,0.9999999999012887,-5.900681046793812,eval,6.457512475860816e-05
0,-0.000360489003358705,2.2578760280935546e-15,7.950543776133643e-11,0.9256849784082288,0,0.00038888801720593204,0.0003888880172081899,2.8399013847227046e-05,0.9999999999823131,0.9999999999986203,0,scan,heston,-0.00038888801720593204,A,digit_k=+0.244,0.9999999999941941,-6.330999305796963,insample,6.142600850545786e-05
0,-0.00040449491177903225,2.042098333993266e-15,8.260040460295214e-11,0.7227122247290834,0,0.00042921753079815995,0.00042921753080020204,2.4722619019127703e-05,0.9999999999691236,0.9999999999995401,0,scan,heston,-0.00042921753079815995,A,digit_k=+0.277,0.9999999999952423,-6.360289121634225,eval,6.748396536537885e-05
