AD_rej,FN,KS_rej,MR_emp,T,atom,b_delta,d_true,da,degen,kurt,mode,mu,part,payoff,ratio,ratio_hi,ratio_lo,s,sigma,skew
0,0.00066213500965635,0,0.0006362615892776434,100000,0.0,7.3417097679044464e-06,-4.685465097277702e-05,0.002,0,3.7125684990137278,IND,-3.9512941204872575e-05,2,SLA20,0.9609242526050163,0.9800841558445936,0.9520693966111256,-0.04766788719804694,0.0008289215974835887,0.06961565432307643
1,0.0034898832098335833,0,0.003336473410355391,100000,0.0,-3.6858710560149746e-05,-0.0008175282385871896,0.002,0,3.575152444828589,IND,-0.0008543869491473393,2,SLA10,0.9560415663636184,0.9706942919292316,0.9458163786383607,-0.19919942235704832,0.0042891035477799835,0.013529412562375645
0,0.06455069371171267,0,0.061501984561624604,100000,0.0,-0.0024364192293496595,-0.02237136465324374,0.002,0,3.784794387709412,IND,-0.0248077838825934,2,EN,0.9527703115987601,0.9712766512551285,0.939953975116445,-0.3224426227512403,0.07693704905052902,-0.20808708844884158
1,0.03707641510745441,0,0.03505669191014504,100000,0.0,-0.000463177569984834,-0.00944841498121185,0.002,0,3.778144667264844,IND,-0.009911592551196684,2,over5,0.9455253915068155,0.9632287650687124,0.9315182741064745,-0.21836264173720368,0.045390514019907964,-0.060397272666145606
1,0.002313960599639645,0,0.002310983108294628,100000,0.0,6.230616766324639e-05,-0.0023732892759578744,0.05,0,3.1329219500234475,CRN,-0.002310983108294628,2,SLA20,0.9987132489008322,0.999070059003657,0.9983949882835492,-2.5621180801950443,0.0009019814996655821,-0.5444310687189735
0,0.02790407844662796,0,0.02790407844662796,100000,0.0,0.00016191136284471677,-0.028065989809472676,0.05,0,3.0462604432902842,CRN,-0.02790407844662796,2,SLA10,1.0,1.0,1.0,-10.505866933798215,0.002656047199385165,0.0256013377288578
0,0.6642460685935032,0,0.6642460685935032,100000,0.0,0.002420598073163749,-0.666666666666667,0.05,0,3.4029332274356143,CRN,-0.6642460685935032,2,EN,1.0,1.0,1.0,-19.108442245841097,0.03476191622779061,-0.010226672192700506
1,0.31750821948423624,0,0.31750821948423624,100000,0.0,0.0022425096824306157,-0.31975072916666686,0.05,0,3.466221755702189,CRN,-0.31750821948423624,2,over5,1.0,1.0,1.0,-11.236157204854486,0.028257723142842778,-0.0667910494364519
0,0.002555316723217278,0,0.0025358596620547293,100000,0.0,-0.00012748265828183567,-0.0023732892759578744,0.05,0,2.995593161590458,IND,-0.00250077193423971,2,SLA20,0.9923856557640138,0.9962375079056779,0.989905027980883,-1.6954796296902557,0.001474964305349143,-0.308784312472273
0,0.028385169025579277,0,0.02838516763325261,100000,0.0,-0.0003191778237799335,-0.028065989809472676,0.05,0,3.03281667524727,IND,-0.02838516763325261,2,SLA10,0.9999999509487978,0.9999999853605633,0.9999998884323418,-4.848890013866601,0.00585395163678248,-0.17329851372507765
0,0.6725988375757586,0,0.6725988375756198,100000,0.0,-0.005932170908952816,-0.666666666666667,0.05,0,2.4841364516734608,IND,-0.6725988375756198,2,EN,0.9999999999997937,0.9999999999999691,0.999999999999341,-6.807251492774008,0.09880622719604128,-0.0788998656129955
0,0.3237208894555634,0,0.3237208802560213,100000,0.0,-0.003970151089354446,-0.31975072916666686,0.05,0,2.9629931401620535,IND,-0.3237208802560213,2,over5,0.9999999715818708,0.9999999896059913,0.9999999426127615,-4.94866089679034,0.06541585431040223,-0.26964159526449644
