AD_rej,FN,J,JJS,KS_rej,MR_emp,S,a2,b_delta,burn,d_true,degen,ident_resid,key,kurt,mode,mrrat,mu,part,ratio,ratioCRN,ratioIND,ratio_hi,ratio_lo,rho_CRN,rho_IND,s,sigma,sigrat,skew
1,0.0001601935870664574,7.451881585976541e-05,0.671886926812998,1,8.567477120669198e-05,-3.63909412525437e-05,0.705,3.63909412525437e-05,,-0.00012206571245923568,0,0.0,SLA20,26.929479940230944,CRN,,-8.567477120669198e-05,2,0.534820230794565,,,0.5740331258453097,0.513525869880599,,,-0.4737322744935613,0.00018085061081869866,,-4.196887173734804
1,0.023210247682282848,2.9077925550326233e-05,0.032498634503044396,1,0.023181169756732522,-0.0008656650688854024,0.705,0.0008656650688854024,,-0.024046834825617924,0,0.0,over5,9.335173146362328,CRN,,-0.023181169756732522,2,0.9987471945173372,,,0.9993340682365263,0.9980461339031987,,,-2.569670231589425,0.009021067945513854,,-1.9731814763209097
0,0.2064715444044528,0.14465885505120643,0.9645571824164513,0,0.21195219079522507,0.005315514212003741,0.705,-0.005315514212003741,,-0.05649717514124264,0,0.0,EN,2.7909013638630262,IND,,-0.06181268935324638,2,1.0265443182816336,,,1.040385148857955,1.0161912176455652,,,-0.2460628220095021,0.25120694320436343,,0.002485261197570834
0,0.010945477894059393,0.008665352694481938,0.9778439676094048,0,0.01088509726300034,0.00019633994925002387,0.705,-0.00019633994925002387,,-0.00208378525032743,0,0.0,SLA10,3.054140849787017,IND,,-0.002280125199577454,2,0.9944835089300373,,,1.010596227312702,0.9825875438447056,,,-0.16856855195462964,0.013526397261757054,,-0.14178985002407263
1,0.0018164824306276105,0.0016329539107744113,0.9637262742187745,1,0.001077748844803229,6.146280739396359e-05,0.705,-6.146280739396359e-05,,-0.00012206571245923568,0,0.0,SLA20,17.119361203606204,IND,,-0.00018352851985319927,2,0.593316415634616,,,0.6339540986304892,0.564790945127454,,,-0.08087787708117639,0.0022692054548982955,,-2.07468724187873
0,0.11535382443479449,0.08908531034450007,0.9756680263560764,0,0.11304316907126069,0.0022216792646764967,0.705,-0.0022216792646764967,,-0.024046834825617924,0,0.0,over5,3.470035085992433,IND,,-0.02626851409029442,2,0.979968974805513,,,0.99844555489689,0.9709591440522809,,,-0.18478860983555043,0.1421544007158864,,-0.24816577492789452
1,0.11150153114027404,1.1082652073834964e-08,3.2207464195734924e-06,1,0.11150152005762197,-0.003441008678010296,0.71,0.003441008678010296,,-0.11494252873563227,0,0.0,EN,5.245964466971431,CRN,,-0.11150152005762197,2,0.9999999006053821,,,0.9999999790720657,0.9999997945719441,,,-4.717313585803258,0.023636656336179448,,-1.1619449345958461
1,0.004180538658221256,9.22487927932248e-06,0.06459017505915651,1,0.004171313778941934,-0.00013359683115688002,0.71,0.00013359683115688002,,-0.004304910610098814,0,0.0,SLA10,4.7751088068187775,CRN,,-0.004171313778941934,2,0.9977933754395067,,,0.9985637028150518,0.9971781927103428,,,-2.407225386282901,0.0017328305869119451,,-1.1136794135505135
1,0.00034438690735199396,0.00015055071290782137,0.6891677970919248,1,0.0001938361944441726,-6.790220021884948e-05,0.71,6.790220021884948e-05,,-0.00026173839466302206,0,0.0,SLA20,23.154797340963505,CRN,,-0.0001938361944441726,2,0.5628442612252237,,,0.599281583311868,0.5445907926729179,,,-0.5052070800074152,0.00038367671815154995,,-3.855309298409887
1,0.04749794199936918,1.48253611529231e-05,0.007081640920370011,1,0.047483116638216256,-0.0020786669974159275,0.71,0.0020786669974159275,,-0.049561783635632184,0,0.0,over5,5.734188905453254,CRN,,-0.047483116638216256,2,0.999687873610332,,,0.9998275188709633,0.9995225636210681,,,-2.947115584859611,0.016111725268650488,,-1.3122625407602388
0,0.22921372827694098,0.10321877049374664,0.9032789618737953,0,0.2283227118966399,0.011052429047562068,0.71,-0.011052429047562068,,-0.11494252873563227,0,0.0,EN,2.507838552426754,IND,,-0.12599495778319433,2,0.996112726811788,,,1.0069414957151643,0.984987613038536,,,-0.49026102993182397,0.2569956616798918,,-0.15462632455558056
0,0.01231929491799972,0.006871918922331584,0.8574481405336362,0,0.012080931200982121,0.0011424653855693218,0.71,-0.0011424653855693218,,-0.004304910610098814,0,0.0,SLA10,3.215616296455287,IND,,-0.005447375995668136,2,0.98065118835094,,,0.9966244416178784,0.9708434649249909,,,-0.3776782622118825,0.014423324137760636,,-0.2781588447995609
