block,config_id,payoff,exp,pair,model,proto_pair,scenario,sigma_Delta,mu_Delta,Delta,b_Delta,s,J,S,J_plus_S,J_over_JplusS,J_fraction,theory_mr,empirical_mr,deviation_pct,sanity_abs_err,sanity_rel_err
Exp06,Exp06-H2,ATM,exp06,H2,heston,,,0.000109,-0.00037523,,,-3.442477064220183,1.600289063442411e-08,,,,4.264594439553394e-05,0.00037525,0.00037465,0.15989340439706012,3.997109365565534e-09,0.1998554682783802
Exp06,Exp06-H2,OTM_K110,exp06,H2,heston,,,0.000108,-0.00039616,,,-3.6681481481481484,6.389076288965511e-09,,,,1.612751486511892e-05,0.00039616,0.00039727,0.2801898222940302,6.389076288965511e-09,6.389076288965511e-09
Exp06,Exp06-H2,OTM_K125,exp06,H2,heston,,,9.5e-05,-0.00037566,,,-3.954315789473684,1.6607276726475922e-09,,,,4.420826472468701e-06,0.00037566,0.00037748,0.4844806473939256,1.6607276726475922e-09,1.6607276726475922e-09
Exp06,Exp06-H3,ATM,exp06,H3,heston,,,3.3e-05,6.831e-05,,,2.07,4.63614278603676e-07,,,,0.006742499688826004,6.876e-05,6.447e-05,6.239092495636999,1.3614278603678616e-08,0.03025395245261932
Exp06,Exp06-H3,OTM_K110,exp06,H3,heston,,,3.1e-05,9.297e-05,,,2.999032258064516,2.3774690330019425e-08,,,,0.0002556418315055852,9.3e-05,8.683e-05,6.634408602150543,6.225309669978594e-09,0.2075103223326335
Exp06,Exp06-H3,OTM_K125,exp06,H3,heston,,,2.7e-05,0.00010878,,,4.028888888888889,3.393393850252296e-10,,,,3.1195016089835415e-06,0.00010878,0.00010203,6.205184776613349,3.393393850252296e-10,3.393393850252296e-10
Exp06,Exp06-H4,ATM,exp06,H4,heston,,,1.8e-05,-3.139e-05,,,-1.743888888888889,5.91127814497721e-07,,,,0.018449682100428248,3.204e-05,3.068e-05,4.2446941323345815,5.8872185502274426e-08,0.09057259308042283
Exp06,Exp06-H4,OTM_K110,exp06,H4,heston,,,1.8e-05,-4.092e-05,,,-2.2733333333333334,1.424822862584015e-07,,,,0.003469254596016594,4.107e-05,4.068e-05,0.9495982468955444,7.517713741595364e-09,0.05011809161063681
Exp06,Exp06-H4,OTM_K125,exp06,H4,heston,,,1.7e-05,-5.125e-05,,,-3.014705882352941,1.2334354046611055e-08,,,,0.0002406233719588579,5.126e-05,5.162e-05,0.702301989855636,2.334354046609457e-09,0.2334354046609084
Exp06,Exp06-H5,ATM,exp06,H5,heston,,,2.7e-05,-0.00022516,,,-8.33925925925926,2.3553428984577662e-22,,,,1.0460751902903563e-18,0.00022516,0.00022314,0.8971398116894624,2.3553428984577662e-22,2.3553428984577662e-22
Exp06,Exp06-H5,OTM_K110,exp06,H5,heston,,,2.6e-05,-0.00023023,,,-8.855,2.3981058398082836e-24,,,,1.041613099860263e-20,0.00023023,0.00022866,0.6819267688832897,2.3981058398082836e-24,2.3981058398082836e-24
