est,model,pair,payoff,n_seed,s,ratio,KS_p,KS_rej,AD_rej,skew,kurt
MC,heston,D,digital_OTM110,200,-0.06475529711500835,0.9995908136857458,0.8756995283566963,0,0,0.23523385651072679,3.111098355649924
MC,kou,A,price_ATMcall,200,0.03183470399341865,1.023618333096717,0.7427098229727108,0,0,-0.23386659190452452,2.7312627410461845
MC,kou,A,delta_ATM,200,0.06774048049419978,1.0100496954188622,0.8981607179884914,0,0,-0.09940026861199612,2.7145168127344155
MC,kou,A,digital_OTM110,200,0.07713364318323405,0.9978141766874433,0.9766189816246579,0,0,-0.037813269744343715,2.7080318422370895
MC,kou,B,price_ATMcall,200,-0.08046096626124957,1.0059105858844932,0.2596076603971287,0,1,0.24253581028731336,2.853304468106771
MC,kou,B,delta_ATM,200,-0.0077597129638814115,0.997102380530037,0.8680054895181124,0,0,0.22477056605355547,2.7866979820675146
MC,kou,B,digital_OTM110,200,0.014676641149443172,0.9970440793177179,0.9194198198867718,0,0,0.14409576284351502,2.768831919233354
MC,kou,C,price_ATMcall,200,-0.15539639673003144,1.0046565358763948,0.590651689662209,0,0,-0.05873415797694706,3.074541714779556
MC,kou,C,delta_ATM,200,-0.018687290066808665,1.0062928199658674,0.9258066697333054,0,0,0.11875937297610838,2.946133402706509
MC,kou,C,digital_OTM110,200,0.027121866928528228,0.9964578681473975,0.9608178031992574,0,0,0.2109844650312469,3.3336625416821697
MC,kou,D,price_ATMcall,200,-0.5192193117289257,1.0119670041237705,0.42537326224953265,0,1,-0.19680564316403962,2.3363504155786132
MC,kou,D,delta_ATM,200,-0.12115362475657757,1.0222188555083105,0.7145252961742456,0,0,-0.1914252719907186,2.498513614590571
MC,kou,D,digital_OTM110,200,0.017160928820446928,1.0139999436742073,0.9872148547050807,0,0,-0.2534734671244411,2.8140499260074243
