block,config_id,payoff,n_seeds,lil_p,lil_rej,ks_std_p,skew,kurt
Exp03,Exp03-AB2-C,OTM_K125,6,0.6042529512457274,0,0.9202662188985405,-0.7416235859511315,2.6168738469048747
Exp03,Exp03-AB2-D,ATM,6,0.7771966887872572,0,0.9661119912209729,-0.772465308987872,2.5045871245690554
Exp03,Exp03-AB2-D,OTM_K110,6,0.5360904852606573,0,0.8964421446582161,-0.7948302103314431,2.5005038486586764
Exp03,Exp03-AB2-D,OTM_K125,6,0.36132311885758417,0,0.8058289875497325,-0.900679343576242,2.5748091542777924
Exp03,Exp03-AB2-E,ATM,6,0.07080617544077382,0,0.5097025907412762,-1.411894700148669,3.4213009436942623
Exp03,Exp03-AB2-E,OTM_K110,6,0.05370037152908687,0,0.4685309646765837,-1.421949034064112,3.4303270009249625
Exp03,Exp03-AB2-E,OTM_K125,6,0.046957484317975196,1,0.4497182229926677,-1.4465861343253692,3.4843183408814733
Exp03,Exp03-AB3-A,ATM,6,0.99,0,0.9999298076601625,0.027554867071518534,1.9817526113790833
Exp03,Exp03-AB3-A,OTM_K110,6,0.8411823293743977,0,0.9785414124622562,-0.18375211970283203,2.2713223448900624
Exp03,Exp03-AB3-A,OTM_K125,6,0.43253383430981895,0,0.847345383830632,-0.39335572240191075,2.5516330350883525
Exp03,Exp03-AB3-B,ATM,6,0.9800430058989686,0,0.9991513672466126,-0.08585010025873707,2.027770163697025
Exp03,Exp03-AB3-B,OTM_K110,6,0.5921608766997555,0,0.916287343800742,-0.31435999420520283,2.340644123739414
Exp03,Exp03-AB3-B,OTM_K125,6,0.25625691952336954,0,0.7383810156530846,-0.539761153975591,2.655063620549076
Exp03,Exp03-AB3-C,ATM,6,0.7941023409353417,0,0.9697350872572371,-0.29523827664117186,2.155019350135509
Exp03,Exp03-AB3-C,OTM_K110,6,0.5859359299874678,0,0.9141971243696303,-0.5395804371862383,2.4987612605825276
Exp03,Exp03-AB3-C,OTM_K125,6,0.262641053957485,0,0.7426327193753794,-0.7830840239328242,2.8560589465774417
Exp03,Exp03-AB3-D,ATM,6,0.9678603655111074,0,0.9982184740990978,-0.05531780816242931,2.2946612472308856
Exp03,Exp03-AB3-D,OTM_K110,6,0.9323719132649895,0,0.9933363447627637,-0.18942155197672175,2.325495467975227
Exp03,Exp03-AB3-D,OTM_K125,6,0.7758860196449455,0,0.9658206479974056,-0.2600554886324023,2.2771551075163203
Exp03,Exp03-AB3-E,ATM,6,0.47478755675669865,0,0.8698696960658717,1.1037730772245957,2.83883934369485
Exp03,Exp03-AB3-E,OTM_K110,6,0.37612349473973195,0,0.8147904140544837,0.9683268391105497,2.5195593902847353
Exp03,Exp03-AB3-E,OTM_K125,6,0.32402298084090086,0,0.7825772273472056,0.9177690114648026,2.3460706951413917
Exp03,Exp03-B1B1-A,ATM,6,0.8335556116201851,0,0.9772397667396963,-0.48502373120445297,2.459479486593128
Exp03,Exp03-B1B1-A,OTM_K110,6,0.7405326161158391,0,0.9576583574670948,-0.5024945470180032,2.4964209477388914
Exp03,Exp03-B1B1-A,OTM_K125,6,0.560521373397069,0,0.9053693877187745,-0.42976460130374367,2.5939777665650117
Exp03,Exp03-B1B1-B,ATM,6,0.8602534250187833,0,0.9815920444380906,-0.4805643668783489,2.505476014844248
Exp03,Exp03-B1B1-B,OTM_K110,6,0.6761631247112606,0,0.9416972708601391,-0.49837285759802336,2.539539923922768
Exp03,Exp03-B1B1-B,OTM_K125,6,0.4952245947760193,0,0.8801394976593665,-0.423594570444096,2.633359454732094
Exp03,Exp03-B1B1-C,ATM,6,0.7880387945580573,0,0.9684642358489148,-0.47927456715374944,2.5636815986522627
Exp03,Exp03-B1B1-C,OTM_K110,6,0.5986316617492026,0,0.9184299307430941,-0.4989711322809332,2.5951306157624225
Exp03,Exp03-B1B1-C,OTM_K125,6,0.4298941093569819,0,0.8458828873938321,-0.4247061797504063,2.6834388967247693
Exp03,Exp03-B1B1-D,ATM,6,0.4532237409839788,0,0.8585864492405055,-0.8839024690057865,2.984030020521146
Exp03,Exp03-B1B1-D,OTM_K110,6,0.20457004457808164,0,0.6842918445955913,-0.9673681594163718,3.1455417917179473
Exp03,Exp03-B1B1-D,OTM_K125,6,0.06422150292797024,0,0.49357916088084774,-0.9378006032768857,3.194582164804408
Exp03,Exp03-B1B1-E,ATM,6,0.9127391517532935,0,0.9901417120769034,-0.5016858848011719,2.3861287139468885
Exp03,Exp03-B1B1-E,OTM_K110,6,0.8732490016909008,0,0.9835075242257229,-0.499987268984428,2.486469152385241
Exp03,Exp03-B1B1-E,OTM_K125,6,0.7697653555121625,0,0.9644400264666725,-0.508947734001355,2.516236385346897
Exp03,Exp03-B2B2-A,ATM,6,0.6765035411413842,0,0.9417896403104893,-0.591887467533403,2.009185654384862
Exp03,Exp03-B2B2-A,OTM_K110,6,0.7586692947642022,0,0.9618522343155752,-0.611619221517565,2.1078379110623
Exp03,Exp03-B2B2-A,OTM_K125,6,0.7789064870501737,0,0.966489782110001,-0.7624838549572533,2.468262332203639
Exp03,Exp03-B2B2-B,ATM,6,0.8490450662764824,0,0.9798341819773292,-0.5106875352888505,1.9633818909637606
Exp03,Exp03-B2B2-B,OTM_K110,6,0.8931419169444065,0,0.9864771832014476,-0.5078556317000886,2.03067341351825
Exp03,Exp03-B2B2-B,OTM_K125,6,0.7679815435395039,0,0.9640314110241104,-0.6340138018188964,2.305972181396636
Exp03,Exp03-B2B2-C,ATM,6,0.4959803395467296,0,0.8805111740526773,-0.3028059382043211,1.586449245442384
Exp03,Exp03-B2B2-C,OTM_K110,6,0.6210275940392067,0,0.9256073653785606,-0.2820689890261013,1.6362975954000345
Exp03,Exp03-B2B2-C,OTM_K125,6,0.8233353602016312,0,0.9754208417814257,-0.3615484169003277,1.8354125880211225
Exp03,Exp03-B2B2-D,ATM,6,0.8350669825601502,0,0.9775014702248571,-0.4668368727764228,2.3528113281550778
Exp03,Exp03-B2B2-D,OTM_K110,6,0.8295832497338167,0,0.976543012956748,-0.5100622399976299,2.392492358912384
Exp03,Exp03-B2B2-D,OTM_K125,6,0.7001734883237375,0,0.9480036315504866,-0.6833928692252693,2.5021209947058725
Exp03,Exp03-B2B2-E,ATM,6,0.09359681832852423,0,0.5550358683772523,-1.3102358937587417,3.338969855127613
Exp03,Exp03-B2B2-E,OTM_K110,6,0.07491468100766403,0,0.5199158651484177,-1.3378198726525912,3.390611051783427
Exp03,Exp03-B2B2-E,OTM_K125,6,0.05569501268765657,0,0.47320642928679757,-1.3861424829653408,3.477511511347669
Exp05_axis,Exp05ax-v1,ATM,50,0.2280333447356582,0,0.6492617255270887,-0.05742540588905588,1.9551746318748995
Exp05_axis,Exp05ax-v1,OTM_K110,50,0.3141897742404311,0,0.7217062028075482,-0.058415487126431666,2.0752509765557
Exp05_axis,Exp05ax-v1,OTM_K125,50,0.16458617940965328,0,0.5713513009703602,-0.06038551467256273,2.2098758120218704
Exp05_axis,Exp05ax-v2,ATM,50,0.09589701595989464,0,0.4871251796183951,-0.11596046816472903,2.0911390497192723
Exp05_axis,Exp05ax-v2,OTM_K110,50,0.25013142632508445,0,0.6765064626748056,-0.08686068197071911,2.1483419893369176
Exp05_axis,Exp05ax-v2,OTM_K125,50,0.310257810219771,0,0.7189562334929058,-0.06199905546312422,2.2376446547905795
Exp05_axis,Exp05ax-v3,ATM,50,0.3584531172666144,0,0.7523281307204349,-0.2529069611919033,2.171758789716955
Exp05_axis,Exp05ax-v3,OTM_K110,50,0.1441490436390239,0,0.5467522258984914,-0.2578080863144742,2.2297834099922373
Exp05_axis,Exp05ax-v3,OTM_K125,50,0.5389703750074252,0,0.8621832048656224,-0.2617644463534158,2.292540053280954
Exp05_axis,Exp05ax-v4,ATM,50,0.20140363302477254,0,0.6163744571757166,0.1905321785517956,2.3747719953127544
Exp05_axis,Exp05ax-v4,OTM_K110,50,0.09762395514041224,0,0.49042606304325287,0.17765293112921213,2.2962169508558232
Exp05_axis,Exp05ax-v4,OTM_K125,50,0.19824315521193295,0,0.6124833989300649,0.15582200985298225,2.2173537380404467
Exp05_axis,Exp05ax-v5,ATM,50,0.1786886142517213,0,0.5885070636189362,-0.24282639138809325,2.1538248012126777
Exp05_axis,Exp05ax-v5,OTM_K110,50,0.15695266775934355,0,0.5621236480593619,-0.1904606167000722,2.097844034212668
Exp05_axis,Exp05ax-v5,OTM_K125,50,0.20234572034471032,0,0.6175350081650222,-0.13878686978012122,2.091678279792163
Exp05_axis,Exp05ax-kappa1,ATM,50,0.31126404296975396,0,0.7196603729731053,0.09314517565854256,2.0000429061399734
Exp05_axis,Exp05ax-kappa1,OTM_K110,50,0.3119735073507087,0,0.7201566797051657,0.1125485055271341,2.0122640273961343
Exp05_axis,Exp05ax-kappa1,OTM_K125,50,0.3708724009889091,0,0.7607871821250856,0.11512758388521527,2.081781278559873
Exp05_axis,Exp05ax-kappa2,ATM,50,0.5763857620555531,0,0.8792004304978267,-0.06973055058423075,2.9238036515564354
Exp05_axis,Exp05ax-kappa2,OTM_K110,50,0.8602956255064148,0,0.9755466324800199,-0.07007906894567599,2.9493048203593557
Exp05_axis,Exp05ax-kappa2,OTM_K125,50,0.8498257642188354,0,0.9732167755270157,-0.06601018105063887,2.912184586253839
Exp05_axis,Exp05ax-kappa3,ATM,50,0.07188460790067207,0,0.4404383310684785,-0.10136839612161529,3.2916015185574814
Exp05_axis,Exp05ax-kappa3,OTM_K110,50,0.13403743008458635,0,0.5347165678025222,-0.08038699105482651,3.3964015663565665
