model,pair,payoff,N,B,ratio_med,ratio_q25,ratio_q75,KS_rejrate,AD_rejrate,skew_med,kurt_med
kou,B,digital_OTM110,5,100,0.9546800658457893,0.879461494046209,0.9905283831527234,0.0,0.0,-0.07431460949230648,2.0068044406706527
kou,B,digital_OTM110,10,100,0.9754513629777841,0.9237718282042697,1.0154805302343286,0.0,0.05,0.036564877473705744,2.4324243740756963
kou,B,digital_OTM110,20,100,0.9866855888025181,0.9532985131571037,1.022635203788685,0.0,0.08,0.06073579224431675,2.8326983040400564
kou,B,digital_OTM110,50,100,1.0016169753444935,0.971007271426372,1.0158741108957585,0.0,0.06,0.06691130284804742,3.2288553172323384
kou,B,digital_OTM110,100,100,0.9928664627882684,0.9781403428427355,1.0051273046090767,0.0,0.0,-0.024146795872555495,3.737091318142973
kou,B,digital_OTM110,200,1,0.9911221139039134,0.9911221139039134,0.9911221139039134,0.0,0.0,0.008288104105772732,3.84944820066036
kou,C,price_ATMcall,5,100,0.9999999984906663,0.9999992322229669,0.999999999999973,0.0,0.0,-0.09629553738131444,2.001084129856571
kou,C,price_ATMcall,10,100,0.9999999938913007,0.9999989804055331,0.9999999999967012,0.0,0.04,-0.12669968230606596,2.2514009660256473
kou,C,price_ATMcall,20,100,0.999999996225895,0.9999998347027057,0.9999999999631711,0.0,0.1,-0.0784751750175438,2.8318485296472184
kou,C,price_ATMcall,50,100,0.9999999941664276,0.9999999565779554,0.9999999993838219,0.0,0.07,-0.31831572910533756,3.266800371835755
kou,C,price_ATMcall,100,100,0.9999999911636793,0.9999999766384989,0.9999999969455954,0.0,0.06,-0.3967595252475882,3.672172903840287
kou,C,price_ATMcall,200,1,0.9999999901199427,0.9999999901199427,0.9999999901199427,0.0,0.0,-0.37000088620724236,3.70496017133049
kou,C,delta_ATM,5,100,0.9975305939318767,0.990363947432378,0.9998874717003655,0.0,0.0,0.12818794035676234,1.9599272277496236
kou,C,delta_ATM,10,100,0.9983321448306126,0.9929007720623848,0.9997196797275529,0.0,0.07,0.035625853595754264,2.30958961060672
kou,C,delta_ATM,20,100,0.9983894997385713,0.9951975882370756,0.9997485154699238,0.0,0.01,-0.06577468098550288,2.6548065106513077
kou,C,delta_ATM,50,100,0.9990882925335315,0.9969076250433649,1.0018962637699211,0.0,0.01,-0.09188726207304522,3.074159874409311
kou,C,delta_ATM,100,100,1.0004826238106863,0.9986662752756774,1.0017028085104083,0.0,0.0,-0.0978677540988678,3.179435552683545
kou,C,delta_ATM,200,1,1.0002227579877854,1.0002227579877854,1.0002227579877854,0.0,0.0,-0.0889735926163933,3.172131435521269
kou,C,digital_OTM110,5,100,0.969944788862192,0.9086283299394062,1.0111546871487287,0.0,0.0,0.0746448706106874,1.9660695580516254
kou,C,digital_OTM110,10,100,0.969978302626607,0.9271423034125454,1.0062901582482027,0.0,0.06,-0.08989532665387576,2.4024753369041676
kou,C,digital_OTM110,20,100,0.9774724539429012,0.9464759013808302,1.0105312215587012,0.0,0.06,-0.0369797887769917,2.6556753551298415
kou,C,digital_OTM110,50,100,0.9940250939347185,0.9738987697273074,1.0164336837983057,0.0,0.01,0.04531970006841319,3.006013029397404
