model,block,exp,config_id,payoff,sigma_delta,mu_delta,Delta,b_Delta,J_hat,S_hat,empirical_mr,theory_mr,corrected,ratio_corrected,ratio_b5_raw
heston,Exp03,exp03,Exp03-AA-D,ATM,0.000922,-0.01064748,-0.00958505996244208,-0.00106242003755792,5.928464824713274e-35,0.00106242003755792,0.01032022,0.01064748,0.00925779996244208,0.9658572819280912,0.9693
heston,Exp03,exp03,Exp03-AA-D,OTM_K110,0.000884,-0.01082875,-0.00981131944748165,-0.0010174305525183502,1.200876584131173e-38,0.0010174305525183502,0.01051924,0.01082875,0.009501809447481649,0.9684537842584011,0.9714
heston,Exp03,exp03,Exp03-AA-D,OTM_K125,0.000768,-0.00990366,-0.008985120435511028,-0.0009185395644889724,2.8125653553471277e-42,0.0009185395644889724,0.00964122,0.00990366,0.008722680435511028,0.9707917103745451,0.9735
heston,Exp03,exp03,Exp03-AA-E,ATM,0.001028,-0.03151727,-0.029848411618922033,-0.0016688583810779666,6.744921288404081e-211,0.0016688583810779666,0.03144407,0.03151727,0.02977521161892203,0.9975476081965582,0.9977
heston,Exp03,exp03,Exp03-AA-E,OTM_K110,0.00096,-0.03237274,-0.03068259971867562,-0.0016901402813243767,7.925169349165967e-254,0.0016901402813243767,0.03228345,0.03237274,0.03059330971867562,0.9970898815348541,0.9972
heston,Exp03,exp03,Exp03-AA-E,OTM_K125,0.00085,-0.0304044,-0.02870225461788489,-0.0017021453821151125,7.705183843893242e-285,0.0017021453821151125,0.03031607,0.0304044,0.028613924617884888,0.996922541410912,0.9971
heston,Exp03,exp03,Exp03-AB1-A,ATM,0.002313,-0.00028701,-0.00032995158206299615,4.294158206299617e-05,0.0015726866411825704,-4.294158206299617e-05,0.0020434,0.00185973,0.0005136549408804258,1.5567585330818507,1.0988
heston,Exp03,exp03,Exp03-AB1-A,OTM_K110,0.002432,-0.00047734,-0.00033689947793862687,-0.0001404405220613731,0.0015003725244369082,0.0001404405220613731,0.00215846,0.00197792,0.0005176469535017187,1.536502688187658,1.0913
heston,Exp03,exp03,Exp03-AB1-A,OTM_K125,0.002242,-0.00059726,-0.00030486422910236546,-0.0002923957708976345,0.001254699245084897,0.0002923957708976345,0.00183927,0.00185159,0.00029217498401746855,0.9583773894291935,0.9933
heston,Exp03,exp03,Exp03-AB1-B,ATM,0.002383,-0.00162984,-0.0016421740919256723,1.2334091925672282e-05,0.0006996706961281821,-1.2334091925672282e-05,0.00255489,0.00232932,0.0018675533957974904,1.13724446450591,1.0968
heston,Exp03,exp03,Exp03-AB1-B,OTM_K110,0.002491,-0.0018599,-0.0016773908245093204,-0.00018250917549067968,0.0006572666974491469,0.00018250917549067968,0.00263055,0.00251696,0.0017907741270601738,1.067595041593256,1.0451
heston,Exp03,exp03,Exp03-AB1-B,OTM_K125,0.002285,-0.00185982,-0.0015206192801209475,-0.00033920071987905264,0.0005359924699019907,0.00033920071987905264,0.00226951,0.00239564,0.0013943168102189569,0.916940110155683,0.9473
heston,Exp03,exp03,Exp03-AB1-C,ATM,0.002481,-0.00332357,-0.003265751445223251,-5.7818554776749125e-05,0.00020754022464224923,5.7818554776749125e-05,0.00387721,0.00353099,0.0036118512205810015,1.1059786028308993,1.0981
heston,Exp03,exp03,Exp03-AB1-C,OTM_K110,0.002574,-0.00360137,-0.0033373114491413924,-0.0002640585508586076,0.0001891280627498393,0.0002640585508586076,0.00391597,0.00379037,0.0034627833863915534,1.0375967119528031,1.0331
heston,Exp03,exp03,Exp03-AB1-C,OTM_K125,0.002346,-0.00345453,-0.003031986083021648,-0.0004225439169783518,0.00014635423258314934,0.0004225439169783518,0.00340571,0.003601,0.002836811850438499,0.9356282557904618,0.9458
heston,Exp03,exp03,Exp03-AB1-D,ATM,0.003082,-0.01031213,-0.00958505996244208,-0.0007270700375579184,6.58298645706616e-07,0.0007270700375579184,0.01063054,0.01031279,0.009902811663796376,1.0331507265055584,1.0308
heston,Exp03,exp03,Exp03-AB1-D,OTM_K110,0.003093,-0.01075589,-0.00981131944748165,-0.000944570552518351,3.955532975834991e-07,0.000944570552518351,0.01084842,0.01075629,0.009903453894184065,1.0093906275496987,1.0086
heston,Exp03,exp03,Exp03-AB1-D,OTM_K125,0.002729,-0.01004139,-0.008985120435511028,-0.0010562695644889732,1.5403146209296549e-07,0.0010562695644889732,0.00981667,0.01004154,0.008760246404048933,0.9749726191122217,0.9776
heston,Exp03,exp03,Exp03-AB1-E,ATM,0.001834,-0.03186012,-0.029848411618922033,-0.0020117083810779653,1.4119551241830763e-71,0.0020117083810779653,0.03353606,0.03186012,0.03152435161892203,1.0561483814079258,1.0526
heston,Exp03,exp03,Exp03-AB1-E,OTM_K110,0.001892,-0.03291454,-0.03068259971867562,-0.0022319402813243787,9.444375957913293e-72,0.0022319402813243787,0.03427398,0.03291454,0.03204203971867563,1.044306545483907,1.0413
heston,Exp03,exp03,Exp03-AB1-E,OTM_K125,0.001823,-0.03103351,-0.02870225461788489,-0.002331255382115111,5.86627763569109e-69,0.002331255382115111,0.03191499,0.03103351,0.029583734617884886,1.030711176238076,1.0284
heston,Exp03,exp03,Exp03-AB2-A,ATM,0.003885,-0.01303466,-0.00032995158206299615,-0.012704708417937003,8.00974210901453e-07,0.012704708417937003,0.01262189,0.01303546,-8.361939214790448e-05,-0.2534292808207824,0.9683
