model,pair,layer,payoff_id,k,VR_k,predicted_VR,diff_pct
heston,C,A,put_k=-0.60,300,1.0,1.0,0.0
heston,C,A,put_k=-0.70,1,0.375689,0.375689,0.0
heston,C,A,put_k=-0.70,2,0.635579,0.635579,0.0
heston,C,A,put_k=-0.70,3,0.840553,0.840553,0.0
heston,C,A,put_k=-0.70,5,0.854897,0.854897,0.0
heston,C,A,put_k=-0.70,10,0.929973,0.929973,0.0
heston,C,A,put_k=-0.70,20,0.964499,0.964499,0.0
heston,C,A,put_k=-0.70,50,0.996789,0.996789,0.0
heston,C,A,put_k=-0.70,300,1.0,1.0,0.0
heston,D,A,call_k=+0.00,1,0.592697,0.592697,0.0
heston,D,A,call_k=+0.00,2,0.870176,0.870176,0.0
heston,D,A,call_k=+0.00,3,0.877771,0.877771,0.0
heston,D,A,call_k=+0.00,5,0.971351,0.971351,0.0
heston,D,A,call_k=+0.00,10,0.974616,0.974616,0.0
heston,D,A,call_k=+0.00,20,0.986229,0.986229,0.0
heston,D,A,call_k=+0.00,50,0.998218,0.998218,0.0
heston,D,A,call_k=+0.00,300,1.0,1.0,0.0
heston,D,A,call_k=+0.05,1,0.614561,0.614561,0.0
heston,D,A,call_k=+0.05,2,0.882866,0.882866,0.0
heston,D,A,call_k=+0.05,3,0.891843,0.891843,0.0
heston,D,A,call_k=+0.05,5,0.971817,0.971817,0.0
heston,D,A,call_k=+0.05,10,0.974999,0.974999,0.0
heston,D,A,call_k=+0.05,20,0.986458,0.986458,0.0
heston,D,A,call_k=+0.05,50,0.998225,0.998225,0.0
heston,D,A,call_k=+0.05,300,1.0,1.0,0.0
heston,D,A,call_k=+0.10,1,0.626347,0.626347,0.0
heston,D,A,call_k=+0.10,2,0.891323,0.891323,0.0
heston,D,A,call_k=+0.10,3,0.902741,0.902741,0.0
heston,D,A,call_k=+0.10,5,0.971969,0.971969,0.0
heston,D,A,call_k=+0.10,10,0.974989,0.974989,0.0
heston,D,A,call_k=+0.10,20,0.986384,0.986384,0.0
