seed,coupling,pair,payoff,kurt,kurt_nonfisher,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta,abs_s,atom
2,coupled,D,OTM_put_0.90,0.4438,3.4438,-0.4325,False,False,1.01,0.00052037,-0.00852619,16.3848,0.0
2,independent,D,ATM_call,0.1814,3.1814,-0.1857,False,False,0.8969,0.00484156,-0.01076668,2.2238,0.0
2,independent,D,OTM_call_1.10,0.2637,3.2637,-0.2084,False,False,0.9004,0.0048937,-0.01090213,2.2278,0.0
2,independent,D,OTM_call_1.25,0.3439,3.3439,-0.2281,False,False,0.9087,0.00451864,-0.00994209,2.2002,0.0
2,independent,D,OTM_put_0.90,0.1945,3.1945,-0.3374,False,False,0.8997,0.00426612,-0.00836505,1.9608,0.0
3,coupled,A,ATM_call,-1.1842,1.8158,-0.5413,True,True,1.0243,8.495e-05,-0.00039381,4.6357,0.0
3,coupled,A,OTM_call_1.10,-1.1578,1.8422,-0.5377,True,True,1.0222,7.93e-05,-0.00040078,5.0538,0.0
3,coupled,A,OTM_call_1.25,-1.1162,1.8838,-0.5559,True,True,1.0187,6.711e-05,-0.00036224,5.3974,0.0
3,coupled,A,OTM_put_0.90,0.2744,3.2744,0.3641,False,False,1.006,3.12e-05,-0.00033487,10.7323,0.0
3,independent,A,ATM_call,-0.3406,2.6594,-0.0219,False,False,1.0744,0.00439256,0.00029046,0.0661,0.0
3,independent,A,OTM_call_1.10,-0.2879,2.7121,-0.025,False,False,1.0615,0.00442331,0.00029681,0.0671,0.0
3,independent,A,OTM_call_1.25,-0.2272,2.7728,-0.0304,False,False,1.0569,0.00402861,0.00026118,0.0648,0.0
3,independent,A,OTM_put_0.90,-0.4173,2.5827,-0.0323,False,False,1.0816,0.00394959,0.00032385,0.082,0.0
3,coupled,B,ATM_call,-0.9168,2.0832,-0.719,True,True,1.0264,0.00042257,-0.00193351,4.5757,0.0
3,coupled,B,OTM_call_1.10,-0.8937,2.1063,-0.7139,True,True,1.0242,0.00039553,-0.00197123,4.9838,0.0
3,coupled,B,OTM_call_1.25,-0.8476,2.1524,-0.73,True,True,1.0204,0.00033483,-0.0017873,5.338,0.0
3,coupled,B,OTM_put_0.90,-0.252,2.748,0.1997,False,False,1.0105,0.00014705,-0.00167904,11.4185,0.0
