cell_id,pair,config_id,block,family,knob,s_cal,bin,ratio_V1,V2_median,V2_q10,V2_q90,err_folded,err_naive,lillie_p,ex_kurt,se_floor_eval,se_floor_sigma,se_floor_pred,theta,k,s_target,bisect,anchor,y0,width,strike,instrument,mu_hat,sigma_hat,theory_mr,empirical_mr,n_cal,n_eval
P2-R-th0.40_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th0.40_k2,0.40000000000000047,B2,0.9700421467760896,0.9672521459546646,0.8201529513640232,1.0822242174050725,0.030883042889914177,0.521008350361395,0.574310391083996,0.19625000951372096,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5386585786592497,2.0,0.4,,,,,,,0.00016262535529914949,0.0004065633882478732,0.00035000134396566076,0.0003395160550749661,150,50
P2-R-th0.60_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th0.60_k2,0.6000000000000005,B3,0.9932633211076072,0.9576726075915907,0.8292199520219669,1.0791768129885404,0.006782369538100542,0.3555530542245591,0.6731117810150957,0.20308438902233572,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5218730885618075,2.0,0.6,,,,,,,0.00024750815487020175,0.0004125135914503359,0.0003866677439837765,0.00038406288755451183,150,50
P2-R-th0.60_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th0.60_k1,0.600000000000001,B3,0.953369671033075,0.9384290908037511,0.8986580023549221,1.108171704790256,0.04891106816561111,0.32858624195067154,0.5132343607447934,-0.03864266941789918,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5239383434220997,1.0,0.6,,,,,,,0.00023706761555946707,0.00039511269259911113,0.00037035709036764466,0.00035308721740856823,150,50
P2-R-th0.80_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th0.80_k1,0.800000000000001,B3,0.9590541241891896,0.9333196015227587,0.8741156308540391,1.106694046426302,0.042694019845258696,0.19824719695751883,0.7103541095137479,-0.002749046325961846,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.506982739937783,1.0,0.8,,,,,,,0.0003227497687015015,0.0004034372108768763,0.00041974191104095823,0.0004025552108788829,150,50
P2-R-th0.80_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th0.80_k2,0.8000000000000094,B3,1.0176203044369412,0.9563476782230951,0.842314186315949,1.1137293169575788,0.017315205249064467,0.24438975029729565,0.6617383845376374,0.21301738153910987,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5045223722006709,2.0,0.8,,,,,,,0.0003351756774363924,0.0004189695967954856,0.0004359020300699717,0.00044358275654448524,150,50
P2-R-th1.00_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th1.00_k1,0.9999999999999999,B3,0.9757236303531344,0.9389491387510539,0.863700815939303,1.1164707072174311,0.02488037482302192,0.12150420612840764,0.8479547591647977,0.03627021322691526,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.4892239577312663,1.0,1.0,,,,,,,0.00041239074439167005,0.0004123907443916701,0.00048110780226166654,0.00046942825141397116,150,50
P2-R-th1.00_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th1.00_k2,1.0000000000000004,OUT,1.0218702060623095,0.9442039111333509,0.8341555158580268,1.12591473843233,0.021402136917744567,0.16117614530579397,0.5169918211268879,0.2262872660641686,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.4865319497045222,2.0,1.0,,,,,,,0.00042596853466529585,0.00042596853466529564,0.0004969480725076684,0.0005078164292556785,150,50
P2-R-theta0,P2,Exp05ax-kappa4,Exp05_axis,R,theta0,5.878429234068025,OUT,0.987958021180664,0.9904141990055917,0.9660880457003074,1.023571275797577,0.01218875555557022,0.01218875544042978,0.10412026941873831,0.8789712481828191,0.10684533932698201,0.05773502691896257,0.12144653090653211,0.0,0.0,,,theta0,,,,,0.005061130984518026,0.0008609665580707505,0.005061130985093749,0.005000184952969365,150,50
P3-I-bfly_w0.25,P3,Exp05dg-all5_s4,Exp05_diag,I,bfly_w0.25,1.0198373382785306,OUT,1.0558875487984274,1.0301850595745554,0.9205175724859809,1.217790274091077,0.052929451495119906,0.18166239964010536,0.99,-0.14031628408945762,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.39521108268106186,0.25,,butterfly,0.00031824781740735314,0.00031205742863322735,0.00036831148276690395,0.00038889550873306045,150,50
P3-I-bfly_w0.50,P3,Exp05dg-all5_s4,Exp05_diag,I,bfly_w0.50,5.533335540575691,OUT,1.058608238109022,0.9954658092362576,0.9715290902670467,1.0488939804782664,0.05536348197489302,0.05536348288936418,0.6411613195920286,0.5637646828144445,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.39521108268106186,0.5,,butterfly,0.0017422136739781288,0.00031485776729109544,0.0017422136756647078,0.0018443217496048596,150,50
