family,gamma1,gamma2,s,mu,sigma,E_true,m_folded,delta,delta_rel,ratio_true,W1,bound_ok,slack,C3,C4,E_edge,edge_valid,edge_capture,ratio_edge
t50,0.0,0.13043478260869565,3.0,3.0,1.0,3.001174063981818,3.000764308634096,0.0004097553477220295,0.00013653168359664724,1.0001365503270427,0.007757985971062153,True,0.05281723236551941,-0.02659109047162794,0.07090957459100765,3.001149686756873,True,0.940507854063695,1.0001284266550585
t50,0.0,0.13043478260869565,5.0,5.0,1.0,5.000001451640434,5.00000010692331,1.3447171234304278e-06,2.689433466042783e-07,1.0000002689434189,0.007757985971062153,True,0.00017333327598764934,-1.4867195146263237e-05,7.136253670787438e-05,5.000000494763183,True,0.28841744211354514,1.000000077567973
Laplace,0.0,3.0,0.0,0.0,1.0,0.7071067811865474,0.7978845608028654,-0.09077777961631806,-0.12837916709551292,0.8862269254527577,0.1454120981667768,True,0.6242794152671034,0.0,-0.7978845608028655,0.6981489907025072,True,0.9013217714522083,0.875
Laplace,0.0,3.0,0.05,0.05,1.0,0.7088336077469879,0.7988817087733653,-0.09004810102637739,-0.12703700846323202,0.8872823097118585,0.1454120981667768,True,0.6192614105815251,-0.03984439140947664,-0.7948956086190542,0.6995197576959835,True,0.8965680570179252,0.8756236999969044
Laplace,0.0,3.0,0.1,0.1,1.0,0.7138559751450712,0.8018706624094294,-0.08801468726435824,-0.12329474057630704,0.8902382997778031,0.1454120981667768,True,0.6052776101436345,-0.07939050949540263,-0.7859660440044833,0.7036249069088689,True,0.8837572619502412,0.8774792992109781
Laplace,0.0,3.0,0.15,0.15,1.0,0.7219489014991671,0.8068439695268507,-0.08489506802768354,-0.11759151908312929,0.8947813068771305,0.1454120981667768,True,0.5838239671799196,-0.11834379927236649,-0.771207091924923,0.7104430830362353,True,0.8644701190512043,0.8805210299246001
Laplace,0.0,3.0,0.25,0.25,1.0,0.7465222509592317,0.8226893964471603,-0.07616714548792858,-0.10202930373483018,0.9074168868386276,0.1454120981667768,True,0.5238019837975968,-0.19333405840142454,-0.7250027190053427,0.7320640565714924,True,0.8101780722499212,0.8898425818212322
Laplace,0.0,3.0,0.4,0.4,1.0,0.8016159419792283,0.860877673894906,-0.05926173191567774,-0.07392783602750923,0.9311612628452108,0.1454120981667768,True,0.40754333829712686,-0.2946161122426585,-0.6186938357095833,0.783540944431208,True,0.6949971429498761,0.9101652513372777
Laplace,0.0,3.0,0.6,0.6,1.0,0.9026731623701604,0.9373454644835111,-0.034672302113350706,-0.03841069343671546,0.9630101137445034,0.1454120981667768,True,0.23844166029145777,-0.39986952347015975,-0.42652749170150395,0.8840295280208231,True,0.4622902659192497,0.9431202918423831
Laplace,0.0,3.0,0.8,0.8,1.0,1.0281060925214769,1.0404144677895306,-0.012308375268053728,-0.01197189215936546,0.9881697384560557,0.1454120981667768,True,0.08464478143996618,-0.4635064844183726,-0.2085779179882679,1.014342228040997,True,-0.11825193664705824,0.9749405255734989
