source,cell,s,gamma1,gamma2,ratio_obs,ratio_pred_edge,ratio_pred_null,caveat
nn_suite,Exp03/Exp03-B1B1-A/OTM_K125,12.915,-0.4297646013037436,-0.4060222334349879,0.9185,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-B/ATM,10.583987341772152,-0.4805643668783489,-0.4945239851557521,0.9006,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-B/OTM_K110,11.636351351351353,-0.4983728575980233,-0.4604600760772319,0.9085,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-B/OTM_K125,12.681693548387097,-0.423594570444096,-0.3666405452679058,0.9198,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-C/ATM,10.293577981651376,-0.4792745671537494,-0.4363184013477372,0.9138,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-C/OTM_K110,11.319117647058825,-0.4989711322809332,-0.4048693842375774,0.9213,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-C/OTM_K125,12.32385214007782,-0.4247061797504063,-0.3165611032752307,0.9317,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-D/ATM,8.857621899059026,-0.8839024690057865,-0.0159699794788541,0.9493,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-D/OTM_K110,9.635372050816695,-0.9673681594163718,0.1455417917179478,0.9534,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-D/OTM_K125,10.33272245762712,-0.9378006032768856,0.1945821648044079,0.9598,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-E/ATM,15.126856330014224,-0.5016858848011719,-0.6138712860531115,1.0261,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-E/OTM_K110,16.051332027424092,-0.499987268984428,-0.5135308476147591,1.0236,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-E/OTM_K125,16.96810706401766,-0.508947734001355,-0.4837636146531028,1.0232,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-A/ATM,8.477758620689656,-0.591887467533403,-0.990814345615138,1.0454,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-A/OTM_K110,9.065454545454545,-0.611619221517565,-0.8921620889377002,1.0434,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-A/OTM_K125,9.148823529411764,-0.7624838549572533,-0.531737667796361,1.0358,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-B/ATM,7.604342507645261,-0.5106875352888505,-1.0366181090362392,1.0372,0.9999999999999474,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-B/OTM_K110,8.000126984126984,-0.5078556317000886,-0.96932658648175,1.0358,0.9999999999999978,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-B/OTM_K125,8.168200692041523,-0.6340138018188964,-0.6940278186033639,1.0296,0.9999999999999996,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-C/ATM,8.130306946688208,-0.3028059382043211,-1.413550754557616,1.0175,0.9999999999999984,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-C/OTM_K110,8.483361064891847,-0.2820689890261013,-1.3637024045999655,1.0175,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-C/OTM_K125,8.64996383363472,-0.3615484169003277,-1.1645874119788775,1.0138,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-D/ATM,12.029160305343511,-0.4668368727764228,-0.6471886718449222,0.967,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-D/OTM_K110,12.019058025621703,-0.5100622399976299,-0.6075076410876159,0.97,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-D/OTM_K125,11.178998516320474,-0.6833928692252693,-0.4978790052941275,0.9707,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-E/ATM,8.702620074777107,-1.3102358937587415,0.3389698551276128,0.9576,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-E/OTM_K110,8.786151532512173,-1.3378198726525912,0.3906110517834271,0.9592,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B2B2-E/OTM_K125,8.480324193087688,-1.3861424829653408,0.4775115113476689,0.9591,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v1/ATM,8.431162790697675,-0.0574254058890558,-1.0448253681251003,0.9801,0.9999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v1/OTM_K110,8.978780487804878,-0.0584154871264316,-0.9247490234443,0.9819,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v1/OTM_K125,9.78764705882353,-0.0603855146725627,-0.7901241879781296,0.9831,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v2/ATM,8.775458937198069,-0.115960468164729,-0.9088609502807276,0.9858,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v2/OTM_K110,9.361878172588831,-0.0868606819707191,-0.8516580106630824,0.9873,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v2/OTM_K125,10.181280487804877,-0.0619990554631242,-0.7623553452094205,0.9879,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp05_axis/Exp05ax-v3/ATM,9.308312020460358,-0.2529069611919033,-0.828241210283045,0.975,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
