block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp03,Exp03-AB2-E,ATM,24,6,7.738,0.010243,-0.07306097,0.07306097,0.07006019,0.9589,True,exp03,E,AB2,,,,,,,,
Exp03,Exp03-AB2-E,OTM_K110,24,6,7.738,0.010323,-0.07354712,0.07354712,0.07040089,0.9572,True,exp03,E,AB2,,,,,,,,
Exp03,Exp03-AB2-E,OTM_K125,24,6,7.738,0.01032,-0.07119246,0.07119246,0.06786711,0.9533,True,exp03,E,AB2,,,,,,,,
Exp03,Exp03-AB3-A,ATM,24,6,8.228,0.001921,-0.00105621,0.00175848,0.00187267,1.0649,True,exp03,A,AB3,,,,,,,,
Exp03,Exp03-AB3-A,OTM_K110,24,6,8.228,0.001878,-0.00121611,0.00180236,0.0017534,0.9728,True,exp03,A,AB3,,,,,,,,
Exp03,Exp03-AB3-A,OTM_K125,24,6,8.228,0.001582,-0.00125865,0.00164184,0.00146544,0.8926,True,exp03,A,AB3,,,,,,,,
Exp03,Exp03-AB3-B,ATM,24,6,8.136,0.001842,-0.00236384,0.00253774,0.00251829,0.9923,True,exp03,B,AB3,,,,,,,,
Exp03,Exp03-AB3-B,OTM_K110,24,6,8.136,0.001809,-0.00255386,0.00268327,0.00247739,0.9233,True,exp03,B,AB3,,,,,,,,
Exp03,Exp03-AB3-B,OTM_K125,24,6,8.136,0.001523,-0.00247654,0.00254312,0.00218992,0.8611,True,exp03,B,AB3,,,,,,,,
Exp03,Exp03-AB3-C,ATM,24,6,8.025,0.001749,-0.00404795,0.00406021,0.00410731,1.0116,True,exp03,C,AB3,,,,,,,,
Exp03,Exp03-AB3-C,OTM_K110,24,6,8.025,0.001729,-0.00427227,0.00427987,0.00414065,0.9675,True,exp03,C,AB3,,,,,,,,
Exp03,Exp03-AB3-C,OTM_K125,24,6,8.025,0.001459,-0.00404185,0.0040443,0.00378004,0.9347,True,exp03,C,AB3,,,,,,,,
Exp03,Exp03-AB3-D,ATM,24,6,7.547,0.001791,-0.01092224,0.01092224,0.01065795,0.9758,True,exp03,D,AB3,,,,,,,,
Exp03,Exp03-AB3-D,OTM_K110,24,6,7.547,0.001823,-0.01127062,0.01127062,0.01084548,0.9623,True,exp03,D,AB3,,,,,,,,
Exp03,Exp03-AB3-D,OTM_K125,24,6,7.547,0.001587,-0.01046303,0.01046303,0.00994468,0.9505,True,exp03,D,AB3,,,,,,,,
Exp03,Exp03-AB3-E,ATM,24,6,7.255,0.002396,-0.03141517,0.03141517,0.03100407,0.9869,True,exp03,E,AB3,,,,,,,,
Exp03,Exp03-AB3-E,OTM_K110,24,6,7.255,0.002477,-0.03239001,0.03239001,0.03182915,0.9827,True,exp03,E,AB3,,,,,,,,
Exp03,Exp03-AB3-E,OTM_K125,24,6,7.255,0.002268,-0.03051351,0.03051351,0.02985413,0.9784,True,exp03,E,AB3,,,,,,,,
Exp03,Exp03-B1B1-A,ATM,24,6,1.605,3.1e-05,-0.00032943,0.00032943,0.00029624,0.8992,True,exp03,A,B1B1,,,,,,,,
Exp03,Exp03-B1B1-A,OTM_K110,24,6,1.605,2.9e-05,-0.00033962,0.00033962,0.00030806,0.9071,True,exp03,A,B1B1,,,,,,,,
