protocol_pair,pair,payoff,rho,sigma_1,sigma_2,sigma_delta,mu,s
AB1,D,ATM,-0.17637065758979087,0.001222169502260734,0.0018132471979574619,0.002358658963919343,-0.01037539541721344,-4.398853575666075
AB2,D,ATM,-0.17157842320589353,0.001222169502260734,0.0036350996284303214,0.004028919611332594,-0.027869203686714195,-6.917289590073568
AB3,D,ATM,0.039063551075461105,0.001222169502260734,0.001999511856416078,0.002302351720151175,-0.010868292053540562,-4.720517703014958
B1B1,D,ATM,0.8161634042008495,0.001490340048524942,0.0018132471979574619,0.0010477845600677226,-0.01024913837512334,-9.781723042817978
B2B2,D,ATM,0.9603427833603487,0.0026024621510686574,0.0036350996284303214,0.001347839490044318,-0.01556092798709871,-11.545089828601961
AA,D,DIGITAL,0.7656586669378215,0.0016371061036264689,0.0014099562543531884,0.001064628045837129,-0.0036203453938166152,-3.400573005729806
AB1,D,DIGITAL,-0.07371882952355335,0.0016371061036264689,0.0016798576398218,0.0024305363928026676,-0.002032669385274244,-0.8363048548844642
AB2,D,DIGITAL,0.2628861529674762,0.0016371061036264689,0.0010091681476811995,0.0016822307380132296,-0.006443923711776711,-3.830582550992499
AB3,D,DIGITAL,0.08772451947602641,0.0016371061036264689,0.0022980888021803558,0.0027020828068802702,-0.002647472421328234,-0.979789521841084
B1B1,D,DIGITAL,0.8283464544801552,0.0017379784245336977,0.0016798576398218,0.0010028371841281141,-0.002622109651565563,-2.6146912909350037
B2B2,D,DIGITAL,0.7018803248666577,0.0009028363700210267,0.0010091681476811995,0.0007446799928401449,-0.0030519713958104266,-4.098366311911339
