config_id,block,payoff,ratio_b5,ratio_V1,V2_median,V2_q10,V2_q90,n_cal,n_test
Exp03-B1B1-A,Exp03,ATM,0.8992,0.899224347257557,1.0007850836153245,1.0000882045195345,1.0028640648515095,24,6
Exp03-B1B1-A,Exp03,OTM_K110,0.9071,0.9070590809668986,1.0008131432499825,1.0000234263503616,1.0031952655707495,24,6
Exp03-B1B1-A,Exp03,OTM_K125,0.9185,0.9185455811924643,1.000403848872979,1.00007697240339,1.0019817969600124,24,6
Exp03-B1B1-B,Exp03,ATM,0.9006,0.9006344934462976,1.0007890456046444,1.0000315770034947,1.002856734621081,24,6
Exp03-B1B1-B,Exp03,OTM_K110,0.9085,0.9084795595059925,1.000352459704533,1.0000463075141615,1.0024862055091515,24,6
Exp03-B1B1-B,Exp03,OTM_K125,0.9198,0.919760710566149,1.0007505907099614,1.0000427705787533,1.002308326757377,24,6
Exp03-B1B1-C,Exp03,ATM,0.9138,0.9138036409917754,1.000504944445105,1.0000936357922987,1.0052515221837313,24,6
Exp03-B1B1-C,Exp03,OTM_K110,0.9213,0.9213359792080842,1.0002469807601735,1.0000435172408748,1.00211598387525,24,6
Exp03-B1B1-C,Exp03,OTM_K125,0.9317,0.9317309072536897,1.001002417427169,1.0002595427278658,1.0025114681023912,24,6
Exp03-B1B1-D,Exp03,ATM,0.9493,0.949262787703543,1.0006068454306076,1.0000720881183032,1.0028149687981989,24,6
Exp03-B1B1-D,Exp03,OTM_K110,0.9534,0.953424805077703,1.000239370014933,1.0000036333636209,1.0027477423263471,24,6
Exp03-B1B1-D,Exp03,OTM_K125,0.9598,0.9597989827145949,1.0011835710758255,1.0000889690204278,1.0030603061644396,24,6
Exp03-B1B1-E,Exp03,ATM,1.0261,1.0260848448153526,1.0001476494341754,1.000004925873482,1.0010174342314846,24,6
Exp03-B1B1-E,Exp03,OTM_K110,1.0236,1.0235648128876935,1.0000661642573068,1.0000024869534982,1.0005436077826024,24,6
Exp03-B1B1-E,Exp03,OTM_K125,1.0232,1.0232246890416656,1.000035210257154,1.0000045921575347,1.000671320634483,24,6
Exp03-B2B2-A,Exp03,ATM,1.0454,1.0453671591034137,1.000320592968576,1.0000520356492482,1.001766436461366,24,6
Exp03-B2B2-A,Exp03,OTM_K110,1.0434,1.0433545680509222,1.0006654369276151,1.0000354105530491,1.0023488171298125,24,6
Exp03-B2B2-A,Exp03,OTM_K125,1.0358,1.035844530701412,1.00038626359202,1.000032649507155,1.0026967678268355,24,6
Exp03-B2B2-B,Exp03,ATM,1.0372,1.0372059837971326,1.0006484970581653,1.000059659514629,1.0027446670769018,24,6
Exp03-B2B2-B,Exp03,OTM_K110,1.0358,1.0358017558686963,1.000653169221338,1.0000316295942067,1.0020702078966073,24,6
Exp03-B2B2-B,Exp03,OTM_K125,1.0296,1.0295918286700338,1.0002266051708566,1.0000229344169511,1.0021135882583456,24,6
Exp03-B2B2-C,Exp03,ATM,1.0175,1.017531468982608,1.0005868067270103,1.0000011702973592,1.0022309402494203,24,6
Exp03-B2B2-C,Exp03,OTM_K110,1.0175,1.0174718316191655,1.0005829291595436,1.0000155370169788,1.0015553996012407,24,6
Exp03-B2B2-C,Exp03,OTM_K125,1.0138,1.013776363014917,1.0004892797147824,1.0000183920097796,1.0034180738846201,24,6
Exp03-B2B2-D,Exp03,ATM,0.967,0.9670357150704704,1.0006794832913644,1.0000476800960558,1.0018482372374684,24,6
Exp03-B2B2-D,Exp03,OTM_K110,0.97,0.9699744288118649,1.0004476293503386,1.0000576439401776,1.0019834638073126,24,6
