key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp05_axis__Exp05ax-v5__ATM,Exp05_axis,Exp05ax-v5,ATM,150,150,200,200
Exp05_axis__Exp05ax-v5__OTM_K110,Exp05_axis,Exp05ax-v5,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-v5__OTM_K125,Exp05_axis,Exp05ax-v5,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-kappa1__ATM,Exp05_axis,Exp05ax-kappa1,ATM,150,150,200,200
Exp05_axis__Exp05ax-kappa1__OTM_K110,Exp05_axis,Exp05ax-kappa1,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-kappa1__OTM_K125,Exp05_axis,Exp05ax-kappa1,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-kappa2__ATM,Exp05_axis,Exp05ax-kappa2,ATM,150,150,200,200
Exp05_axis__Exp05ax-kappa2__OTM_K110,Exp05_axis,Exp05ax-kappa2,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-kappa2__OTM_K125,Exp05_axis,Exp05ax-kappa2,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-kappa3__ATM,Exp05_axis,Exp05ax-kappa3,ATM,150,150,200,200
Exp05_axis__Exp05ax-kappa3__OTM_K110,Exp05_axis,Exp05ax-kappa3,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-kappa3__OTM_K125,Exp05_axis,Exp05ax-kappa3,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-kappa4__ATM,Exp05_axis,Exp05ax-kappa4,ATM,150,150,200,200
Exp05_axis__Exp05ax-kappa4__OTM_K110,Exp05_axis,Exp05ax-kappa4,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-kappa4__OTM_K125,Exp05_axis,Exp05ax-kappa4,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-kappa5__ATM,Exp05_axis,Exp05ax-kappa5,ATM,150,150,200,200
Exp05_axis__Exp05ax-kappa5__OTM_K110,Exp05_axis,Exp05ax-kappa5,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-kappa5__OTM_K125,Exp05_axis,Exp05ax-kappa5,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-omega1__ATM,Exp05_axis,Exp05ax-omega1,ATM,150,150,200,200
Exp05_axis__Exp05ax-omega1__OTM_K110,Exp05_axis,Exp05ax-omega1,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-omega1__OTM_K125,Exp05_axis,Exp05ax-omega1,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-omega2__ATM,Exp05_axis,Exp05ax-omega2,ATM,150,150,200,200
Exp05_axis__Exp05ax-omega2__OTM_K110,Exp05_axis,Exp05ax-omega2,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-omega2__OTM_K125,Exp05_axis,Exp05ax-omega2,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-omega3__ATM,Exp05_axis,Exp05ax-omega3,ATM,150,150,200,200
Exp05_axis__Exp05ax-omega3__OTM_K110,Exp05_axis,Exp05ax-omega3,OTM_K110,150,150,200,200
